Date,Transaction Description,Category,Amount,Balance,Transaction Type,Payment Method,Merchant Category Code,Location,Account Number,Transaction ID,Currency,Notes,Category Confidence Score
2023-06-18 12:21:57.958751,Whole Foods,Groceries,-56.79,4703.55,debit,Credit Card,,Atlanta,XXXX-XXXX-XXXX-1234,T10013,USD,,0.92
2023-06-19 12:21:57.958751,Amazon,Shopping,-74.84,4628.71,debit,Online Transfer,,Houston,XXXX-XXXX-XXXX-1234,T10014,USD,,0.76
2023-06-19 12:21:57.958751,Costco,Groceries,38.83,4667.54,credit,Cash,,Houston,XXXX-XXXX-XXXX-1234,T10015,USD,,0.76
2023-06-20 12:21:57.958751,Walmart,Groceries,70.61,4738.15,credit,Cash,,Denver,XXXX-XXXX-XXXX-1234,T10016,USD,,0.76
2023-06-20 12:21:57.958751,Walmart,Groceries,-118.72,4619.43,debit,Online Transfer,,Denver,XXXX-XXXX-XXXX-1234,T10017,USD,,0.74
2023-06-21 12:21:57.958751,Starbucks,Coffee,-5.36,4614.07,debit,Check,,Houston,XXXX-XXXX-XXXX-1234,T10018,USD,,0.79
2023-06-21 12:21:57.958751,Airbnb,Travel,-26.09,4587.98,debit,Check,,Los Angeles,XXXX-XXXX-XXXX-1234,T10019,USD,,0.97
2023-06-23 12:21:57.958751,Airbnb,Travel,-368.63,4219.35,debit,Cash,,Miami,XXXX-XXXX-XXXX-1234,T10020,USD,,0.93
2023-06-23 12:21:57.958751,Target,Shopping,145.81,4365.16,credit,Debit Card,,San Francisco,XXXX-XXXX-XXXX-1234,T10021,USD,,0.92
2023-06-24 12:21:57.958751,Whole Foods,Groceries,-5.41,4359.75,fee,Check,,Miami,XXXX-XXXX-XXXX-1234,T10022,USD,,0.94
2023-06-25 12:21:57.958751,Apple Store,Electronics,201.27,4561.02,credit,Online Transfer,,Boston,XXXX-XXXX-XXXX-1234,T10023,USD,,0.78
2023-06-26 12:21:57.958751,CVS Pharmacy,Health,34.15,4595.17,credit,Check,,Atlanta,XXXX-XXXX-XXXX-1234,T10024,EUR,,0.97
2023-06-26 12:21:57.958751,Walmart,Groceries,-36.72,4558.45,debit,Online Transfer,,New York,XXXX-XXXX-XXXX-1234,T10025,USD,,0.74
2023-06-26 12:21:57.958751,Apple Store,Electronics,229.67,4788.12,credit,Cash,,Atlanta,XXXX-XXXX-XXXX-1234,T10026,USD,,0.8
2023-06-27 12:21:57.958751,Apple Store,Electronics,188.35,4976.47,credit,Check,,Miami,XXXX-XXXX-XXXX-1234,T10027,EUR,,0.88
2023-06-28 12:21:57.958751,Local Bookstore,Shopping,-38.21,4938.26,debit,Online Transfer,,Houston,XXXX-XXXX-XXXX-1234,T10028,USD,,0.73
2023-06-29 12:21:57.958751,CVS Pharmacy,Health,43.83,4982.09,credit,Cash,,Seattle,XXXX-XXXX-XXXX-1234,T10029,USD,,0.92
2023-06-30 12:21:57.958751,Shell Gas,Fuel,-36.35,4945.74,debit,Debit Card,,Boston,XXXX-XXXX-XXXX-1234,T10030,USD,,0.82
2023-07-01 12:21:57.958751,McDonald's,Dining,-15.64,4930.1,debit,Online Transfer,,Houston,XXXX-XXXX-XXXX-1234,T10031,USD,,0.94
2023-07-02 12:21:57.958751,Spotify,Entertainment,18.37,4948.47,credit,Debit Card,,Miami,XXXX-XXXX-XXXX-1234,T10032,USD,,0.85
2023-07-02 12:21:57.958751,Water Utility,Utilities,-17.99,4930.48,debit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10033,USD,,0.75
2023-07-03 12:21:57.958751,Airbnb,Travel,-339.48,4591.0,debit,Credit Card,,New York,XXXX-XXXX-XXXX-1234,T10034,USD,,0.92
2023-07-03 12:21:57.958751,Airbnb,Travel,-237.65,4353.35,debit,Check,,Miami,XXXX-XXXX-XXXX-1234,T10035,USD,,0.78
2023-07-04 12:21:57.958751,Uber,Transport,-27.99,4325.36,debit,Online Transfer,,San Francisco,XXXX-XXXX-XXXX-1234,T10036,EUR,,0.85
2023-07-04 12:21:57.958751,Airbnb,Travel,509.95,4835.31,transfer,Debit Card,,Chicago,XXXX-XXXX-XXXX-1234,T10037,EUR,,0.72
2023-07-06 12:21:57.958751,CVS Pharmacy,Health,-58.98,4776.33,debit,Credit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10038,USD,,0.89
2023-07-06 12:21:57.958751,Local Bookstore,Shopping,-18.36,4757.97,debit,Cash,,Miami,XXXX-XXXX-XXXX-1234,T10039,EUR,,0.9
2023-07-07 12:21:57.958751,Netflix,Entertainment,19.06,4777.03,credit,Online Transfer,,Houston,XXXX-XXXX-XXXX-1234,T10040,USD,,0.81
2023-07-07 12:21:57.958751,Starbucks,Coffee,-3.65,4773.38,debit,Debit Card,,San Francisco,XXXX-XXXX-XXXX-1234,T10041,USD,,0.99
2023-07-08 12:21:57.958751,Best Buy,Electronics,-212.42,4560.96,debit,Check,,Los Angeles,XXXX-XXXX-XXXX-1234,T10042,EUR,,0.96
2023-07-09 12:21:57.958751,Starbucks,Coffee,-6.77,4554.19,debit,Credit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10043,USD,,0.91
2023-07-09 12:21:57.958751,City Electric,Utilities,94.97,4649.16,credit,Debit Card,,San Francisco,XXXX-XXXX-XXXX-1234,T10044,USD,,0.91
2023-07-09 12:21:57.958751,Starbucks,Coffee,-2.47,4646.69,debit,Check,,Houston,XXXX-XXXX-XXXX-1234,T10045,USD,,0.78
2023-07-09 12:21:57.958751,Best Buy,Electronics,-149.88,4496.81,debit,Debit Card,,Miami,XXXX-XXXX-XXXX-1234,T10046,USD,,0.9
2023-07-10 12:21:57.958751,Amazon,Shopping,-171.33,4325.48,debit,Online Transfer,,Atlanta,XXXX-XXXX-XXXX-1234,T10047,EUR,,0.76
2023-07-14 12:21:57.958751,CVS Pharmacy,Health,-40.76,4284.72,debit,Online Transfer,,New York,XXXX-XXXX-XXXX-1234,T10048,EUR,,0.74
2023-07-14 12:21:57.958751,Airbnb,Travel,-426.05,3858.67,debit,Online Transfer,,Atlanta,XXXX-XXXX-XXXX-1234,T10049,EUR,,1.0
2023-07-15 12:21:57.958751,Airbnb,Travel,-337.54,3521.13,debit,Credit Card,,Chicago,XXXX-XXXX-XXXX-1234,T10050,EUR,,0.89
2023-07-15 12:21:57.958751,Local Bookstore,Shopping,-140.46,3380.67,debit,Online Transfer,,San Francisco,XXXX-XXXX-XXXX-1234,T10051,USD,,0.83
2023-07-16 12:21:57.958751,Uber,Transport,27.03,3407.7,credit,Check,,Chicago,XXXX-XXXX-XXXX-1234,T10052,USD,,0.79
2023-07-16 12:21:57.958751,Local Bookstore,Shopping,-61.62,3346.08,debit,Debit Card,,New York,XXXX-XXXX-XXXX-1234,T10053,USD,,0.88
2023-07-17 12:21:57.958751,Netflix,Entertainment,21.44,3367.52,credit,Cash,,San Francisco,XXXX-XXXX-XXXX-1234,T10054,USD,,0.71
2023-07-17 12:21:57.958751,Netflix,Entertainment,10.88,3378.4,refund,Check,,Denver,XXXX-XXXX-XXXX-1234,T10055,USD,,0.73
2023-07-18 12:21:57.958751,Walmart,Groceries,46.29,3424.69,credit,Check,,Houston,XXXX-XXXX-XXXX-1234,T10056,GBP,,0.71
2023-07-18 12:21:57.958751,Uber,Transport,-17.8,3406.89,debit,Online Transfer,,San Francisco,XXXX-XXXX-XXXX-1234,T10057,USD,,0.85
2023-07-18 12:21:57.958751,Local Bookstore,Shopping,-91.84,3315.05,debit,Credit Card,,Houston,XXXX-XXXX-XXXX-1234,T10058,USD,,0.88
2023-07-19 12:21:57.958751,Airbnb,Travel,-542.97,2772.08,debit,Debit Card,,Atlanta,XXXX-XXXX-XXXX-1234,T10059,USD,,0.72
2023-07-20 12:21:57.958751,Spotify,Entertainment,-19.22,2752.86,debit,Credit Card,,Boston,XXXX-XXXX-XXXX-1234,T10060,USD,,0.92
2023-07-20 12:21:57.958751,Gym Membership,Health,-11.83,2741.03,debit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10061,EUR,,0.77
2023-07-20 12:21:57.958751,Best Buy,Electronics,-298.74,2442.29,transfer,Debit Card,,Boston,XXXX-XXXX-XXXX-1234,T10062,USD,,0.91
2023-07-20 12:21:57.958751,Best Buy,Electronics,247.56,2689.85,credit,Credit Card,,Miami,XXXX-XXXX-XXXX-1234,T10063,USD,,0.99
2023-07-21 12:21:57.958751,Starbucks,Coffee,-4.07,2685.78,debit,Check,,Seattle,XXXX-XXXX-XXXX-1234,T10064,EUR,,0.91
2023-07-22 12:21:57.958751,Gym Membership,Health,-6.93,2678.85,debit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10065,USD,,0.96
2023-07-22 12:21:57.958751,Uber,Transport,27.02,2705.87,credit,Credit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10066,USD,,0.98
2023-07-22 12:21:57.958751,Shell Gas,Fuel,-49.37,2656.5,debit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10067,USD,,0.85
2023-07-23 12:21:57.958751,Netflix,Entertainment,-13.97,2642.53,debit,Cash,,New York,XXXX-XXXX-XXXX-1234,T10068,EUR,,0.91
2023-07-24 12:21:57.958751,Starbucks,Coffee,6.59,2649.12,credit,Check,,Boston,XXXX-XXXX-XXXX-1234,T10069,USD,,0.96
2023-07-24 12:21:57.958751,Apple Store,Electronics,-141.32,2507.8,debit,Online Transfer,,Atlanta,XXXX-XXXX-XXXX-1234,T10070,EUR,,0.81
2023-07-27 12:21:57.958751,Starbucks,Coffee,-7.49,2500.31,debit,Debit Card,,Houston,XXXX-XXXX-XXXX-1234,T10071,EUR,,0.78
2023-07-27 12:21:57.958751,Shell Gas,Fuel,-11.13,2489.18,debit,Cash,,Miami,XXXX-XXXX-XXXX-1234,T10072,USD,,0.98
2023-07-28 12:21:57.958751,Amazon,Shopping,124.24,2613.42,credit,Online Transfer,,Seattle,XXXX-XXXX-XXXX-1234,T10073,GBP,,0.92
2023-07-28 12:21:57.958751,Spotify,Entertainment,-25.12,2588.3,debit,Online Transfer,,Miami,XXXX-XXXX-XXXX-1234,T10074,EUR,,0.77
2023-07-28 12:21:57.958751,Apple Store,Electronics,-349.77,2238.53,debit,Debit Card,,Atlanta,XXXX-XXXX-XXXX-1234,T10075,EUR,,0.83
2023-07-28 12:21:57.958751,Spotify,Entertainment,-13.26,2225.27,debit,Credit Card,,Miami,XXXX-XXXX-XXXX-1234,T10076,EUR,,0.94
2023-07-29 12:21:57.958751,Starbucks,Coffee,-1.68,2223.59,debit,Debit Card,,Atlanta,XXXX-XXXX-XXXX-1234,T10077,USD,,0.86
2023-07-29 12:21:57.958751,Netflix,Entertainment,-25.25,2198.34,debit,Cash,,Seattle,XXXX-XXXX-XXXX-1234,T10078,USD,,0.89
2023-07-30 12:21:57.958751,McDonald's,Dining,23.69,2222.03,credit,Online Transfer,,Atlanta,XXXX-XXXX-XXXX-1234,T10079,USD,,0.93
2023-08-01 12:21:57.958751,Best Buy,Electronics,-184.1,2037.93,debit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10080,USD,,0.89
2023-08-01 12:21:57.958751,Shell Gas,Fuel,37.29,2075.22,credit,Credit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10081,USD,,0.86
2023-08-01 12:21:57.958751,McDonald's,Dining,-7.5,2067.72,debit,Debit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10082,EUR,,0.92
2023-08-03 12:21:57.958751,Gym Membership,Health,-44.87,2022.85,debit,Check,,Atlanta,XXXX-XXXX-XXXX-1234,T10083,EUR,,0.92
2023-08-03 12:21:57.958751,Best Buy,Electronics,-266.99,1755.86,debit,Credit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10084,USD,,0.89
2023-08-03 12:21:57.958751,Airbnb,Travel,-330.23,1425.63,debit,Cash,,Houston,XXXX-XXXX-XXXX-1234,T10085,EUR,,0.81
2023-08-03 12:21:57.958751,Apple Store,Electronics,-123.6,1302.03,debit,Online Transfer,,Houston,XXXX-XXXX-XXXX-1234,T10086,EUR,,0.82
2023-08-04 12:21:57.958751,Best Buy,Electronics,-93.5,1208.53,debit,Debit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10087,USD,,0.99
2023-08-04 12:21:57.958751,Shell Gas,Fuel,-11.36,1197.17,debit,Credit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10088,USD,,0.73
2023-08-04 12:21:57.958751,Costco,Groceries,-35.99,1161.18,debit,Check,,Denver,XXXX-XXXX-XXXX-1234,T10089,USD,,0.78
2023-08-06 12:21:57.958751,McDonald's,Dining,-9.94,1151.24,debit,Credit Card,,Denver,XXXX-XXXX-XXXX-1234,T10090,EUR,,0.85
2023-08-06 12:21:57.958751,Amazon,Shopping,68.72,1219.96,credit,Check,,Seattle,XXXX-XXXX-XXXX-1234,T10091,USD,,0.95
2023-08-08 12:21:57.958751,Local Bookstore,Shopping,135.29,1355.25,transfer,Cash,,Atlanta,XXXX-XXXX-XXXX-1234,T10092,USD,,0.75
2023-08-08 12:21:57.958751,Local Bookstore,Shopping,-167.83,1187.42,debit,Online Transfer,,Chicago,XXXX-XXXX-XXXX-1234,T10093,USD,,0.78
2023-08-08 12:21:57.958751,Shell Gas,Fuel,-35.99,1151.43,debit,Cash,,Chicago,XXXX-XXXX-XXXX-1234,T10094,EUR,,0.72
2023-08-08 12:21:57.958751,Shell Gas,Fuel,-44.64,1106.79,debit,Debit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10095,EUR,,0.91
2023-08-09 12:21:57.958751,Target,Shopping,-157.3,949.49,debit,Credit Card,,Miami,XXXX-XXXX-XXXX-1234,T10096,EUR,,0.77
2023-08-11 12:21:57.958751,Apple Store,Electronics,-122.26,827.23,debit,Check,,Los Angeles,XXXX-XXXX-XXXX-1234,T10097,GBP,,0.82
2023-08-12 12:21:57.958751,Gym Membership,Health,58.37,885.6,credit,Check,,Denver,XXXX-XXXX-XXXX-1234,T10098,EUR,,0.83
2023-08-13 12:21:57.958751,Target,Shopping,-23.48,862.12,debit,Credit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10099,GBP,,0.97
2023-08-13 12:21:57.958751,Spotify,Entertainment,-27.22,834.9,debit,Credit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10100,GBP,,0.82
2023-08-15 12:21:57.958751,Airbnb,Travel,326.46,1161.36,credit,Debit Card,,Boston,XXXX-XXXX-XXXX-1234,T10101,EUR,,0.74
2023-08-15 12:21:57.958751,Netflix,Entertainment,-13.18,1148.18,debit,Cash,,Miami,XXXX-XXXX-XXXX-1234,T10102,USD,,0.86
2023-08-17 12:21:57.958751,Netflix,Entertainment,9.49,1157.67,credit,Check,,Boston,XXXX-XXXX-XXXX-1234,T10103,USD,,0.99
2023-08-19 12:21:57.958751,Airbnb,Travel,-231.78,925.89,debit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10104,USD,,0.88
2023-08-19 12:21:57.958751,Best Buy,Electronics,-96.02,829.87,debit,Cash,,Seattle,XXXX-XXXX-XXXX-1234,T10105,USD,,1.0
2023-08-19 12:21:57.958751,CVS Pharmacy,Health,-24.37,805.5,debit,Debit Card,,Houston,XXXX-XXXX-XXXX-1234,T10106,USD,,0.95
2023-08-20 12:21:57.958751,Target,Shopping,-93.13,712.37,debit,Check,,San Francisco,XXXX-XXXX-XXXX-1234,T10107,USD,,0.71
2023-08-22 12:21:57.958751,Costco,Groceries,-14.79,697.58,fee,Credit Card,,Boston,XXXX-XXXX-XXXX-1234,T10108,GBP,,0.9
2023-08-22 12:21:57.958751,McDonald's,Dining,-22.08,675.5,debit,Credit Card,,Houston,XXXX-XXXX-XXXX-1234,T10109,EUR,,0.79
2023-08-23 12:21:57.958751,Airbnb,Travel,-11.54,663.96,fee,Cash,,Denver,XXXX-XXXX-XXXX-1234,T10110,EUR,,0.87
2023-08-24 12:21:57.958751,Water Utility,Utilities,-33.92,630.04,debit,Online Transfer,,New York,XXXX-XXXX-XXXX-1234,T10111,USD,,0.78
2023-08-25 12:21:57.958751,Starbucks,Coffee,-2.8,627.24,debit,Cash,,Miami,XXXX-XXXX-XXXX-1234,T10112,USD,,0.8
2023-08-25 12:21:57.958751,Best Buy,Electronics,-379.87,247.37,debit,Online Transfer,,New York,XXXX-XXXX-XXXX-1234,T10113,USD,,0.98
2023-08-25 12:21:57.958751,Airbnb,Travel,-189.72,57.65,debit,Debit Card,,Atlanta,XXXX-XXXX-XXXX-1234,T10114,USD,,0.76
2023-08-26 12:21:57.958751,Target,Shopping,-232.81,-175.16,transfer,Debit Card,,Denver,XXXX-XXXX-XXXX-1234,T10115,USD,,0.96
2023-08-26 12:21:57.958751,Costco,Groceries,-52.98,-228.14,debit,Check,,Denver,XXXX-XXXX-XXXX-1234,T10116,USD,,0.71
2023-08-28 12:21:57.958751,Costco,Groceries,-48.33,-276.47,debit,Online Transfer,,New York,XXXX-XXXX-XXXX-1234,T10117,GBP,,0.73
2023-08-28 12:21:57.958751,Shell Gas,Fuel,-45.81,-322.28,debit,Check,,Boston,XXXX-XXXX-XXXX-1234,T10118,EUR,,0.96
2023-08-28 12:21:57.958751,Delta Airlines,Travel,-245.9,-568.18,debit,Credit Card,,San Francisco,XXXX-XXXX-XXXX-1234,T10119,USD,,0.89
2023-08-30 12:21:57.958751,Shell Gas,Fuel,-73.24,-641.42,debit,Online Transfer,,Boston,XXXX-XXXX-XXXX-1234,T10120,USD,,0.92
2023-08-31 12:21:57.958751,Apple Store,Electronics,-205.28,-846.7,debit,Cash,,New York,XXXX-XXXX-XXXX-1234,T10121,USD,,0.76
2023-08-31 12:21:57.958751,Apple Store,Electronics,249.01,-597.69,credit,Credit Card,,Atlanta,XXXX-XXXX-XXXX-1234,T10122,USD,,0.86
2023-08-31 12:21:57.958751,Airbnb,Travel,-5.63,-603.32,debit,Credit Card,,Boston,XXXX-XXXX-XXXX-1234,T10123,GBP,,0.92
2023-09-02 12:21:57.958751,Spotify,Entertainment,-14.2,-617.52,debit,Cash,,Chicago,XXXX-XXXX-XXXX-1234,T10124,USD,,0.89
2023-09-04 12:21:57.958751,City Electric,Utilities,-118.1,-735.62,debit,Credit Card,,Boston,XXXX-XXXX-XXXX-1234,T10125,USD,,0.84
2023-09-05 12:21:57.958751,Whole Foods,Groceries,-63.89,-799.51,debit,Online Transfer,,Seattle,XXXX-XXXX-XXXX-1234,T10126,USD,,0.99
2023-09-05 12:21:57.958751,Local Bookstore,Shopping,6.89,-792.62,refund,Check,,Houston,XXXX-XXXX-XXXX-1234,T10127,USD,,0.9
2023-09-05 12:21:57.958751,CVS Pharmacy,Health,-27.13,-819.75,debit,Credit Card,,Miami,XXXX-XXXX-XXXX-1234,T10128,USD,,0.97
2023-09-07 12:21:57.958751,Airbnb,Travel,-559.78,-1379.53,debit,Online Transfer,,Boston,XXXX-XXXX-XXXX-1234,T10129,EUR,,0.92
2023-09-09 12:21:57.958751,Whole Foods,Groceries,-46.23,-1425.76,debit,Debit Card,,San Francisco,XXXX-XXXX-XXXX-1234,T10130,USD,,0.92
2023-09-09 12:21:57.958751,Target,Shopping,-116.12,-1541.88,debit,Online Transfer,,San Francisco,XXXX-XXXX-XXXX-1234,T10131,USD,,0.72
2023-09-09 12:21:57.958751,Starbucks,Coffee,-9.05,-1550.93,debit,Check,,Boston,XXXX-XXXX-XXXX-1234,T10132,USD,,0.81
2023-09-10 12:21:57.958751,CVS Pharmacy,Health,-9.23,-1560.16,fee,Online Transfer,,Los Angeles,XXXX-XXXX-XXXX-1234,T10133,USD,,0.96
2023-09-11 12:21:57.958751,Apple Store,Electronics,287.46,-1272.7,credit,Cash,,Denver,XXXX-XXXX-XXXX-1234,T10134,EUR,,0.77
2023-09-11 12:21:57.958751,CVS Pharmacy,Health,20.38,-1252.32,refund,Check,,Boston,XXXX-XXXX-XXXX-1234,T10135,USD,,0.73
2023-09-12 12:21:57.958751,Shell Gas,Fuel,-52.5,-1304.82,debit,Debit Card,,Denver,XXXX-XXXX-XXXX-1234,T10136,USD,,0.8
2023-09-13 12:21:57.958751,Starbucks,Coffee,-5.95,-1310.77,debit,Cash,,Chicago,XXXX-XXXX-XXXX-1234,T10137,USD,,0.77
2023-09-14 12:21:57.958751,Local Bookstore,Shopping,-72.62,-1383.39,debit,Online Transfer,,New York,XXXX-XXXX-XXXX-1234,T10138,USD,,0.98
2023-09-14 12:21:57.958751,Airbnb,Travel,-232.83,-1616.22,debit,Check,,Chicago,XXXX-XXXX-XXXX-1234,T10139,USD,,0.96
2023-09-15 12:21:57.958751,Best Buy,Electronics,188.73,-1427.49,credit,Debit Card,,Boston,XXXX-XXXX-XXXX-1234,T10140,USD,,0.85
2023-09-15 12:21:57.958751,Best Buy,Electronics,-36.03,-1463.52,debit,Cash,,San Francisco,XXXX-XXXX-XXXX-1234,T10141,USD,,0.72
2023-09-15 12:21:57.958751,Whole Foods,Groceries,78.67,-1384.85,credit,Debit Card,,Los Angeles,XXXX-XXXX-XXXX-1234,T10142,EUR,,0.91
2023-09-17 12:21:57.958751,Whole Foods,Groceries,60.15,-1324.7,credit,Online Transfer,,Atlanta,XXXX-XXXX-XXXX-1234,T10143,USD,,0.89
2023-09-18 12:21:57.958751,Spotify,Entertainment,-23.96,-1348.66,debit,Debit Card,,Denver,XXXX-XXXX-XXXX-1234,T10144,GBP,,0.99
2023-09-18 12:21:57.958751,Gym Membership,Health,-62.39,-1411.05,debit,Credit Card,,Houston,XXXX-XXXX-XXXX-1234,T10145,USD,,0.87
2023-09-18 12:21:57.958751,Whole Foods,Groceries,-51.34,-1462.39,debit,Cash,,Denver,XXXX-XXXX-XXXX-1234,T10146,GBP,,0.8
2023-09-18 12:21:57.958751,Walmart,Groceries,-17.16,-1479.55,debit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10147,EUR,,0.86
2023-09-18 12:21:57.958751,Gym Membership,Health,39.94,-1439.61,credit,Online Transfer,,Miami,XXXX-XXXX-XXXX-1234,T10148,USD,,0.99
2023-09-18 12:21:57.958751,Target,Shopping,-66.44,-1506.05,debit,Online Transfer,,Boston,XXXX-XXXX-XXXX-1234,T10149,EUR,,0.91
2023-09-18 12:21:57.958751,Netflix,Entertainment,-0.15,-1506.2,debit,Debit Card,,Chicago,XXXX-XXXX-XXXX-1234,T10150,USD,,0.9
2023-09-18 12:21:57.958751,Amazon,Shopping,-74.91,-1581.11,debit,Online Transfer,,Houston,XXXX-XXXX-XXXX-1234,T10151,GBP,,0.77
2023-09-19 12:21:57.958751,Uber,Transport,12.14,-1568.97,refund,Check,,San Francisco,XXXX-XXXX-XXXX-1234,T10152,USD,,0.92
2023-09-19 12:21:57.958751,Water Utility,Utilities,-50.88,-1619.85,debit,Check,,San Francisco,XXXX-XXXX-XXXX-1234,T10153,USD,,0.93
2023-09-22 12:21:57.958751,Amazon,Shopping,96.85,-1523.0,credit,Check,,San Francisco,XXXX-XXXX-XXXX-1234,T10154,USD,,0.8
2023-09-22 12:21:57.958751,City Electric,Utilities,-27.09,-1550.09,debit,Credit Card,,Atlanta,XXXX-XXXX-XXXX-1234,T10155,GBP,,0.85
2023-09-22 12:21:57.958751,Target,Shopping,125.88,-1424.21,credit,Debit Card,,Seattle,XXXX-XXXX-XXXX-1234,T10156,USD,,0.79
2023-09-23 12:21:57.958751,Costco,Groceries,88.04,-1336.17,credit,Credit Card,,San Francisco,XXXX-XXXX-XXXX-1234,T10157,USD,,0.78
2023-09-23 12:21:57.958751,Local Bookstore,Shopping,-163.93,-1500.1,debit,Online Transfer,,San Francisco,XXXX-XXXX-XXXX-1234,T10158,EUR,,0.71
2023-09-24 12:21:57.958751,Uber,Transport,-33.17,-1533.27,debit,Credit Card,,Boston,XXXX-XXXX-XXXX-1234,T10159,EUR,,0.79
2023-09-25 12:21:57.958751,Gym Membership,Health,49.09,-1484.18,credit,Online Transfer,,Seattle,XXXX-XXXX-XXXX-1234,T10160,USD,,0.87
2023-09-25 12:21:57.958751,Netflix,Entertainment,-14.01,-1498.19,debit,Online Transfer,,Los Angeles,XXXX-XXXX-XXXX-1234,T10161,USD,,0.7
2023-09-25 12:21:57.958751,Starbucks,Coffee,3.29,-1494.9,credit,Cash,,Los Angeles,XXXX-XXXX-XXXX-1234,T10162,USD,,0.78
2023-09-26 12:21:57.958751,City Electric,Utilities,-61.15,-1556.05,debit,Check,,Seattle,XXXX-XXXX-XXXX-1234,T10163,USD,,0.96
2023-09-26 12:21:57.958751,Target,Shopping,90.92,-1465.13,credit,Online Transfer,,Miami,XXXX-XXXX-XXXX-1234,T10164,USD,,0.88
2023-09-28 12:21:57.958751,Water Utility,Utilities,93.48,-1371.65,credit,Cash,,Atlanta,XXXX-XXXX-XXXX-1234,T10165,GBP,,0.88
2023-09-28 12:21:57.958751,City Electric,Utilities,106.5,-1265.15,transfer,Check,,Houston,XXXX-XXXX-XXXX-1234,T10166,USD,,0.82
2023-09-30 12:21:57.958751,Uber,Transport,-36.71,-1301.86,debit,Online Transfer,,Denver,XXXX-XXXX-XXXX-1234,T10167,USD,,0.9
2023-09-30 12:21:57.958751,City Electric,Utilities,-10.95,-1312.81,debit,Online Transfer,,Boston,XXXX-XXXX-XXXX-1234,T10168,USD,,0.76
2023-09-30 12:21:57.958751,Gym Membership,Health,-81.16,-1393.97,debit,Credit Card,,New York,XXXX-XXXX-XXXX-1234,T10169,USD,,0.95
